Student #, Weighted Score, Disability, Race, FRL, Gender
Student 1: 68.53   No, White, Yes, Male, 
Student 640: 81.53   Yes, White, No, Male, 
Student 641: 93.06   No, Hispanic, Yes, Male, 
Student 642: 78.8   Yes, White, Yes, Male, 
Student 643: 91.86   No, White, Yes, Male, 
Student 644: 71.33   No, White, Yes, Female, 
Student 645: 86.26   No, Hispanic, Yes, Male, 
Student 646: 68   No, White, No, Male, 
Student 647: 94.66   No, Black, Yes, Female, 
Student 648: 16.93   Yes, White, Yes, Male, 
Student 649: 80.53   No, White, No, Male, 
Student 650: 0.8   Yes, Hispanic, Yes, Male, 
Student 651: 31.13   No, Hispanic, Yes, Male, 
Student 652: 88.13   Yes, White, Yes, Male, 
Student 653: 51.46   No, White, Yes, Male, 
Student 654: 65.2   No, Hispanic, Yes, Male, 
Student 655: 89.46   No, White, Yes, Male, 
Student 656: 88.93   No, White, Yes, Male, 
Student 657: 90.4   No, White, Yes, Female, 
Student 658: 80   No, Other, Yes, Female, 
Student 659: 81.46   No, White, Yes, Male, 
Student 660: 62.93   No, White, Yes, Female, 
Student 661: 53.86   No, Black, Yes, Male, 
Student 662: 77.69   No, Black, Yes, Male, 
Student 663: 89.2   No, Black, Yes, Male, 
Student 664: 66.8   No, Black, Yes, Male, 
Student 665: 85.06   No, White, Yes, Female, 
Student 666: 96.8   No, Black, Yes, Female, 
Student 667: 70.26   No, Other, Yes, Female, 
Student 668: 65.06   No, Other, Yes, Male, 
Student 669: 88.66   No, White, No, Female, 
Student 670: 83.86   No, Hispanic, Yes, Male, 
Student 671: 92.53   No, White, No, Male, 
Student 672: 62.66   No, White, Yes, Male, 
Student 673: 81.86   No, White, Yes, Female, 
Student 674: 94.93   No, White, No, Male, 
Student 675: 85.66   Yes, Black, No, Male, 
Student 676: 75.25   No, White, Yes, Female, 
Student 677: 23.33   No, White, Yes, Male, 
Student 678: 85.33   No, White, No, Female, 
Student 679: 82.41   Yes, White, Yes, Male, 
Student 680: 84.58   No, White, No, Female, 
Student 681: 72.16   No, White, Yes, Female, 
Student 682: 85   No, White, Yes, Male, 
Student 683: 62.25   Yes, Black, Yes, Female, 
Student 684: 67.66   No, Black, Yes, Male, 
Student 685: 54.33   Yes, White, Yes, Male, 
Student 686: 8   No, Black, Yes, Female, 
Student 687: 52.16   No, Other, Yes, Female, 
Student 688: 63.08   No, Black, Yes, Female, 
Student 689: 69.5   Yes, Black, Yes, Male, 
Student 690: 54.83   Yes, Black, Yes, Female, 
Student 691: 76.83   No, Black, Yes, Female, 
Student 692: 91.66   No, Black, Yes, Male, 
Student 693: 93.8   No, Other, Yes, Male, 
Student 694: 82.4   No, White, Yes, Male, 
Student 695: 77.2   Yes, Black, Yes, Male, 
Student 696: 75.2   No, Black, Yes, Female, 
Student 697: 78.8   No, Black, Yes, Male, 
Student 698: 84.4   No, White, Yes, Female, 
Student 699: 68.4   Yes, White, Yes, Male, 
Student 700: 35.1   Yes, Hispanic, Yes, Female, 
Student 701: 82.2   No, White, Yes, Female, 
Student 702: 29.4   Yes, Black, Yes, Male, 
Student 703: 64.6   Yes, Other, Yes, Female, 
Student 704: 70.8   No, Black, Yes, Male, 
Student 705: 83.7   No, White, No, Female, 
Student 706: 48   Yes, Black, Yes, Male, 
Student 707: 77.2   No, Black, Yes, Female, 
Student 708: 44.5   Yes, Black, Yes, Female, 
Student 709: 42.5   Yes, Black, Yes, Female, 
Student 710: 70.8   Yes, White, No, Male, 
Student 711: 36.5   Yes, White, Yes, Male, 
Student 712: 80   No, Other, No, Female, 
Student 713: 82.2   No, White, Yes, Female, 
Student 714: 53   Yes, Black, No, Male, 
Student 715: 76.4   No, Other, Yes, Male, 
Student 716: 77.1   No, White, Yes, Male, 
Student 717: 70.7   Yes, Hispanic, Yes, Female, 
Student 718: 59.6   No, Black, Yes, Male, 
Student 719: 82.6   No, Black, Yes, Female, 
Student 720: 75.4   No, White, No, Female, 
Student 721: 82.2   No, Black, Yes, Male, 
Student 722: 83.2   No, Black, Yes, Male, 
Student 723: 80.3   No, Black, No, Female, 
Student 724: 68.2   No, Hispanic, Yes, Male, 
Student 725: 69.6   Yes, Hispanic, Yes, Male, 
Student 726: 74.2   Yes, White, No, Male, 
Student 727: 77   No, White, Yes, Male, 
Student 728: 73.2   Yes, White, No, Male, 
Student 729: 67.8   Yes, Black, Yes, Male, 
Student 730: 80.5   No, Other, Yes, Female, 
Student 731: 56.1   No, Black, Yes, Male, 
Student 732: 94.8   No, White, No, Male, 
Student 733: 44.6   No, Black, Yes, Female, 
Student 734: 87   No, White, Yes, Female, 
Student 735: 67.5   Yes, White, Yes, Female, 
Student 736: 61.6   No, White, Yes, Female, 
Student 737: 77.38   Yes, Black, Yes, Male, 
Student 738: 20.16   Yes, Hispanic, Yes, Male, 
Student 739: 83.37   No, White, No, Female, 
Student 740: 9.94   No, White, Yes, Male, 
Student 741: 26.9   Yes, Other, Yes, Female, 
Student 742: 80.24   Yes, White, No, Male, 
Student 743: 68.52   No, Other, Yes, Female, 
Student 744: 74.93   Yes, White, Yes, Female, 
Student 745: 80.91   No, White, Yes, Female, 
Student 746: 88.55   No, Other, Yes, Male, 
Student 747: 74.11   No, Black, Yes, Female, 
Student 748: 91.55   No, White, Yes, Female, 
Student 749: 82.9   Yes, White, No, Male, 
Student 750: 90.05   No, White, Yes, Female, 
Student 751: 89.98   No, White, No, Female, 
Student 752: 73.36   Yes, Black, Yes, Male, 
Student 753: 61.71   No, Black, Yes, Female, 
Student 754: 68.93   No, Black, Yes, Female, 
Student 755: 72.61   No, Black, Yes, Male, 
Student 756: 43.65   Yes, Black, Yes, Female, 
Student 757: 61.17   Yes, White, No, Male, 
Student 758: 24.52   Yes, Black, Yes, Female, 
Student 759: 72.07   No, Other, No, Female, 
Student 760: 55.99   No, White, Yes, Female, 
Student 761: 58.65   Yes, Black, No, Male, 
Student 762: 94.2   No, White, Yes, Male, 
Student 763: 77.65   No, White, Yes, Male, 
Student 764: 62.8   Yes, Hispanic, Yes, Female, 
Student 765: 69.95   No, Black, Yes, Male, 
Student 766: 77.11   No, White, No, Female, 
Student 767: 91.28   No, White, No, Male, 
Student 768: 61.71   No, Black, Yes, Male, 
Student 769: 76.83   No, Hispanic, Yes, Male, 
Student 770: 71.66   Yes, Black, No, Male, 
Student 771: 92.74   No, White, Yes, Female, 
Student 772: 90.73   Yes, White, Yes, Male, 
Student 773: 94.55   No, White, No, Female, 
Student 774: 87.87   No, White, Yes, Male, 
Student 775: 72.61   Yes, Black, Yes, Female, 
Student 776: 3.4   Yes, White, Yes, Male, 
Student 777: 50.27   No, Other, Yes, Female, 
Student 778: 76.29   No, Black, Yes, Female, 
Student 779: 91   No, Black, Yes, Male, 
