Student #, Weighted Score, Disability, Race, FRL, Gender
Student 1: 70.445   No, White, Yes, Male, 
Student 638: 83.667   No, White, No, Female, 
Student 639: 70.792   No, Hispanic, Yes, Male, 
Student 640: 73.749   Yes, White, No, Male, 
Student 641: 86.897   No, Hispanic, Yes, Male, 
Student 642: 64.184   Yes, White, Yes, Male, 
Student 643: 82.941   No, White, Yes, Male, 
Student 644: 64.737   No, White, Yes, Female, 
Student 645: 90.663   No, Hispanic, Yes, Male, 
Student 646: 61.702   No, White, No, Male, 
Student 647: 95.799   No, Black, Yes, Female, 
Student 648: 17.466   Yes, White, Yes, Male, 
Student 649: 74.281   No, White, No, Male, 
Student 650: 0.994   Yes, Hispanic, Yes, Male, 
Student 651: 26.419   No, Hispanic, Yes, Male, 
Student 652: 76.348   Yes, White, Yes, Male, 
Student 653: 49.372   No, White, Yes, Male, 
Student 654: 61.89   No, Hispanic, Yes, Male, 
Student 655: 86.188   No, White, Yes, Male, 
Student 656: 90.626   No, White, Yes, Male, 
Student 657: 92.304   No, White, Yes, Female, 
Student 658: 81.924   No, Other, Yes, Female, 
Student 659: 80.822   No, White, Yes, Male, 
Student 660: 62.751   No, White, Yes, Female, 
Student 661: 54.642   No, Black, Yes, Male, 
Student 662: 81.773   No, Black, Yes, Male, 
Student 663: 87.24   No, Black, Yes, Male, 
Student 664: 71.86   No, Black, Yes, Male, 
Student 665: 86.175   No, White, Yes, Female, 
Student 666: 97.934   No, Black, Yes, Female, 
Student 667: 72.406   No, Other, Yes, Female, 
Student 668: 61.475   No, Other, Yes, Male, 
Student 669: 90.919   No, White, No, Female, 
Student 670: 85.885   No, Hispanic, Yes, Male, 
Student 671: 93.854   No, White, No, Male, 
Student 672: 69.219   No, White, Yes, Male, 
Student 673: 86.368   No, White, Yes, Female, 
Student 674: 98.484   No, White, No, Male, 
Student 675: 75.171   Yes, Black, No, Male, 
Student 676: 71.676   No, White, Yes, Female, 
Student 677: 24.975   No, White, Yes, Male, 
Student 678: 84.149   No, White, No, Female, 
Student 679: 70.858   Yes, White, Yes, Male, 
Student 680: 82.616   No, White, No, Female, 
Student 681: 67.535   No, White, Yes, Female, 
Student 682: 84.018   No, White, Yes, Male, 
Student 683: 60.839   Yes, Black, Yes, Female, 
Student 684: 59.745   No, Black, Yes, Male, 
Student 685: 51.308   Yes, White, Yes, Male, 
Student 686: 9.384   No, Black, Yes, Female, 
Student 687: 60.741   No, Other, Yes, Female, 
Student 688: 60.531   No, Black, Yes, Female, 
Student 689: 60.137   Yes, Black, Yes, Male, 
Student 690: 49.969   Yes, Black, Yes, Female, 
Student 691: 71.955   No, Black, Yes, Female, 
Student 692: 77.799   No, Black, Yes, Male, 
Student 693: 85.443   No, Other, Yes, Male, 
Student 694: 75.561   No, White, Yes, Male, 
Student 695: 76.54   Yes, Black, Yes, Male, 
Student 696: 75.741   No, Black, Yes, Female, 
Student 697: 60.505   No, Black, Yes, Male, 
Student 698: 76.82   No, White, Yes, Female, 
Student 699: 60.582   Yes, White, Yes, Male, 
Student 700: 35.196   Yes, Hispanic, Yes, Female, 
Student 701: 77.711   No, White, Yes, Female, 
Student 702: 22.547   Yes, Black, Yes, Male, 
Student 703: 63.479   Yes, Other, Yes, Female, 
Student 704: 56.08   No, Black, Yes, Male, 
Student 705: 82.727   No, White, No, Female, 
Student 706: 40.687   Yes, Black, Yes, Male, 
Student 707: 75.143   No, Black, Yes, Female, 
Student 708: 42.701   Yes, Black, Yes, Female, 
Student 709: 37.232   Yes, Black, Yes, Female, 
Student 710: 59.56   Yes, White, No, Male, 
Student 711: 39.348   Yes, White, Yes, Male, 
Student 712: 66.344   No, Other, No, Female, 
Student 713: 77.922   No, White, Yes, Female, 
Student 714: 51.321   Yes, Black, No, Male, 
Student 715: 69.51   No, Other, Yes, Male, 
Student 716: 75.45   No, White, Yes, Male, 
Student 717: 65.215   Yes, Hispanic, Yes, Female, 
Student 718: 54.26   No, Black, Yes, Male, 
Student 719: 75.048   No, Black, Yes, Female, 
Student 720: 73.014   No, White, No, Female, 
Student 721: 77.922   No, Black, Yes, Male, 
Student 722: 73.135   No, Black, Yes, Male, 
Student 723: 73.52   No, Black, No, Female, 
Student 724: 66.923   No, Hispanic, Yes, Male, 
Student 725: 63.633   Yes, Hispanic, Yes, Male, 
Student 726: 64.309   Yes, White, No, Male, 
Student 727: 63.661   No, White, Yes, Male, 
Student 728: 61.584   Yes, White, No, Male, 
Student 729: 61.704   Yes, Black, Yes, Male, 
Student 730: 71.459   No, Other, Yes, Female, 
Student 731: 52.943   No, Black, Yes, Male, 
Student 732: 88.359   No, White, No, Male, 
Student 733: 39.608   No, Black, Yes, Female, 
Student 734: 86.485   No, White, Yes, Female, 
Student 735: 60.67   Yes, White, Yes, Female, 
Student 736: 60.562   No, White, Yes, Female, 
Student 737: 79.99   Yes, Black, Yes, Male, 
Student 738: 23.465   Yes, Hispanic, Yes, Male, 
Student 739: 86.746   No, White, No, Female, 
Student 740: 7.528   No, White, Yes, Male, 
Student 741: 25.258   Yes, Other, Yes, Female, 
Student 742: 69.518   Yes, White, No, Male, 
Student 743: 68.445   No, Other, Yes, Female, 
Student 744: 74.677   Yes, White, Yes, Female, 
Student 745: 84.484   No, White, Yes, Female, 
Student 746: 83.959   No, Other, Yes, Male, 
Student 747: 80.238   No, Black, Yes, Female, 
Student 748: 90.965   No, White, Yes, Female, 
Student 749: 86.277   Yes, White, No, Male, 
Student 750: 87.711   No, White, Yes, Female, 
Student 751: 88.61   No, White, No, Female, 
Student 752: 66.512   Yes, Black, Yes, Male, 
Student 753: 54.636   No, Black, Yes, Female, 
Student 754: 62.43   No, Black, Yes, Female, 
Student 755: 65.578   No, Black, Yes, Male, 
Student 756: 41.733   Yes, Black, Yes, Female, 
Student 757: 62.979   Yes, White, No, Male, 
Student 758: 24.307   Yes, Black, Yes, Female, 
Student 759: 66.459   No, Other, No, Female, 
Student 760: 44.721   No, White, Yes, Female, 
Student 761: 56.362   Yes, Black, No, Male, 
Student 762: 89.925   No, White, Yes, Male, 
Student 763: 67.244   No, White, Yes, Male, 
Student 764: 61.768   Yes, Hispanic, Yes, Female, 
Student 765: 60.564   No, Black, Yes, Male, 
Student 766: 80.773   No, White, No, Female, 
Student 767: 89.159   No, White, No, Male, 
Student 768: 61.232   No, Black, Yes, Male, 
Student 769: 75.217   No, Hispanic, Yes, Male, 
Student 770: 65.439   Yes, Black, No, Male, 
Student 771: 78.885   No, White, Yes, Female, 
Student 772: 83.598   Yes, White, Yes, Male, 
Student 773: 97.384   No, White, No, Female, 
Student 774: 91.647   No, White, Yes, Male, 
Student 775: 74.783   Yes, Black, Yes, Female, 
Student 776: 3.14   Yes, White, Yes, Male, 
Student 777: 50.771   No, Other, Yes, Female, 
Student 778: 77.213   No, Black, Yes, Female, 
Student 779: 81.244   No, Black, Yes, Male, 
